ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2021,"2021",10429950,34776.80750155195,"United States","01000US","united-states",0.13012687206275075
1,"$800 to $1,499",2021,"2021",12113700,43503.62642355233,"United States","01000US","united-states",0.15113379163913
2,"$1,500 to $1,999",2021,"2021",7472103,32962.8291413222,"United States","01000US","united-states",0.09322397433551417
3,"$2,000 to $2,999",2021,"2021",12033398,49362.7191815848,"United States","01000US","united-states",0.15013192220731267
4,"$3,000 or More",2021,"2021",34592093,113709.40508154986,"United States","01000US","united-states",0.4315802913910206
5,"No Real Estate Taxes Paid",2021,"2021",3510917,18480.35410916144,"United States","01000US","united-states",0.0438031483642718
0,"Less Than $800",2021,"2021",1554,350.0642798115797,"Wilmington, NC","16000US3774440","wilmington-nc",0.06383240911891559
1,"$800 to $1,499",2021,"2021",5587,637.5264700386957,"Wilmington, NC","16000US3774440","wilmington-nc",0.2294927089751489
2,"$1,500 to $1,999",2021,"2021",4021,565.6615595919525,"Wilmington, NC","16000US3774440","wilmington-nc",0.16516738550010268
3,"$2,000 to $2,999",2021,"2021",5192,478.9415413179358,"Wilmington, NC","16000US3774440","wilmington-nc",0.21326761141918257
4,"$3,000 or More",2021,"2021",7647,573.2451482568343,"Wilmington, NC","16000US3774440","wilmington-nc",0.31410967344423907
5,"No Real Estate Taxes Paid",2021,"2021",344,115.31261856362468,"Wilmington, NC","16000US3774440","wilmington-nc",0.014130211542411173
0,"Less Than $800",2020,"2020",10933041,41576.49616069157,"United States","01000US","united-states",0.13874175242828246
1,"$800 to $1,499",2020,"2020",12687284,46851.8859599056,"United States","01000US","united-states",0.1610033307032608
2,"$1,500 to $1,999",2020,"2020",7456713,32038.92721362562,"United States","01000US","united-states",0.09462668519899957
3,"$2,000 to $2,999",2020,"2020",12055376,49350.868786678926,"United States","01000US","united-states",0.15298433367457948
4,"$3,000 or More",2020,"2020",32307496,108348.73799449627,"United States","01000US","united-states",0.40998644490674885
5,"No Real Estate Taxes Paid",2020,"2020",3361466,18899.94290996669,"United States","01000US","united-states",0.042657453088128815
0,"Less Than $800",2020,"2020",1559,318.2011942152323,"Wilmington, NC","16000US3774440","wilmington-nc",0.06295683075556273
1,"$800 to $1,499",2020,"2020",5862,619.8265886520196,"Wilmington, NC","16000US3774440","wilmington-nc",0.23672414489359125
2,"$1,500 to $1,999",2020,"2020",4216,598.6192445954273,"Wilmington, NC","16000US3774440","wilmington-nc",0.17025400799580018
3,"$2,000 to $2,999",2020,"2020",5240,557.9292069788065,"Wilmington, NC","16000US3774440","wilmington-nc",0.21160602511811977
4,"$3,000 or More",2020,"2020",7563,681.6223294464464,"Wilmington, NC","16000US3774440","wilmington-nc",0.30541533739853816
5,"No Real Estate Taxes Paid",2020,"2020",323,107.81465577554843,"Wilmington, NC","16000US3774440","wilmington-nc",0.013043653838387917
0,"Less Than $800",2019,"2019",11116778,38560.90797686175,"United States","01000US","united-states",0.14386110708541294
1,"$800 to $1,499",2019,"2019",12864206,49109.35984107306,"United States","01000US","united-states",0.16647439725204657
2,"$1,500 to $1,999",2019,"2019",7474286,34161.31920754817,"United States","01000US","united-states",0.09672398411059417
3,"$2,000 to $2,999",2019,"2019",11877218,47802.053188121536,"United States","01000US","united-states",0.15370188471648838
4,"$3,000 or More",2019,"2019",30755160,118969.237826423,"United States","01000US","united-states",0.39799943528502674
5,"No Real Estate Taxes Paid",2019,"2019",3186733,19969.552548817916,"United States","01000US","united-states",0.04123919155043118
0,"Less Than $800",2019,"2019",1479,279.95892555873263,"Wilmington, NC","16000US3774440","wilmington-nc",0.06364849162972845
1,"$800 to $1,499",2019,"2019",5394,540.5376952627819,"Wilmington, NC","16000US3774440","wilmington-nc",0.23212979300253905
2,"$1,500 to $1,999",2019,"2019",3927,439.95567958602373,"Wilmington, NC","16000US3774440","wilmington-nc",0.16899771915479622
3,"$2,000 to $2,999",2019,"2019",5426,457.348882145786,"Wilmington, NC","16000US3774440","wilmington-nc",0.23350690708783406
4,"$3,000 or More",2019,"2019",6626,457.47349650007044,"Wilmington, NC","16000US3774440","wilmington-nc",0.2851486852863967
5,"No Real Estate Taxes Paid",2019,"2019",385,117.99152511939153,"Wilmington, NC","16000US3774440","wilmington-nc",0.016568403838705514
0,"Less Than $800",2018,"2018",11635164,42964.70514270988,"United States","01000US","united-states",0.1522034523991884
1,"$800 to $1,499",2018,"2018",13267983,48866.32648358172,"United States","01000US","united-states",0.17356290113089431
2,"$1,500 to $1,999",2018,"2018",7253924,32426.08340518478,"United States","01000US","united-states",0.0948909939078925
3,"$2,000 to $2,999",2018,"2018",11924270,50360.791544613356,"United States","01000US","united-states",0.15598534419799068
4,"$3,000 or More",2018,"2018",29172423,107057.67718851367,"United States","01000US","united-states",0.3816141736764079
5,"No Real Estate Taxes Paid",2018,"2018",3191046,18804.818797318945,"United States","01000US","united-states",0.04174313468762628
0,"Less Than $800",2018,"2018",1605,279.7087771236362,"Wilmington, NC","16000US3774440","wilmington-nc",0.07114677069019017
1,"$800 to $1,499",2018,"2018",5344,486.4976875587385,"Wilmington, NC","16000US3774440","wilmington-nc",0.2368899330644089
