city_name,city_latitude,city_longitude
A and W Camp Mobile Home Park, 34.455200, -78.147000
Aarons Corner, 36.538190, -80.295890
Abbottsburg, 34.517110, -78.725020
Aberdeen, 35.131550, -79.429480
Abingdon, 35.911240, -81.595930
Abington, 36.177360, -80.104210
Abner, 35.498190, -79.907820
Abshers, 36.368740, -81.110920
Acme, 34.325720, -78.204720
Acorn Forest, 34.769050, -77.415800
Acorn Hill, 36.442650, -76.547730
Acton, 35.561500, -82.639020
Adako, 35.904300, -81.703990
Adams Farm, 36.027080, -79.907810
Adamsville, 35.371000, -77.953320
Adcock Crossroads, 36.329590, -78.355000
Addie, 35.405930, -83.159870
Addington Mill, 35.113430, -83.397930
Addor, 35.077940, -79.461980
Adley, 36.133740, -81.212310
Advance, 35.941250, -80.409220
Advent Crossroads, 35.669300, -81.425920
Afton, 36.338760, -78.216100
Aho, 36.159300, -81.616490
Ahoskie, 36.286820, -76.984680
Ai, 36.320140, -78.961680
Airboro, 35.359330, -77.991380
Airlie, 34.215170, -77.826650
Airlie, 36.335710, -77.884430
Alamance, 36.035140, -79.485850
Alamance Acres, 36.085690, -79.492800
Alamance Hills Subdivision, 36.098750, -79.397520
Alandale, 34.256840, -77.884430
Alarka, 35.353150, -83.445440
Albemarle, 35.350140, -80.200060
Albemarle, 35.611500, -82.542630
Albemarle Beach, 35.935990, -76.641330
Albertson, 35.114330, -77.818870
Albion, 36.519300, -80.448950
Albrittons, 35.197940, -77.664970
Alder Branch, 36.251830, -76.030760
Aldersgate, 34.787390, -77.416350
Alert, 36.230980, -78.222490
Alexander, 35.702470, -82.618820
Alexander Mills, 35.310680, -81.858710
Alexanger Place, 35.913590, -78.773520
Alexis, 35.399860, -81.117860
Alfordsville, 34.580160, -79.318380
All Star Mobile Home Park, 35.708210, -78.676950
Allegheny, 35.988440, -82.667360
Allen, 35.225980, -80.613960
Allen Acres, 35.317910, -81.516760
Allen Grove, 36.305430, -77.644420
Allen Hills, 35.293750, -80.809520
Allen Jay, 35.924030, -79.965320
Allendale, 35.314850, -81.513420
Allens Crossroads, 34.912100, -80.407560
Allens Crossroads, 35.387660, -78.470280
Allens Level, 36.325420, -79.020840
Allenstand, 35.972880, -82.752920
Allensville, 36.390420, -78.888620
Allenton, 34.592390, -78.926140
Alliance, 35.144890, -76.802160
Alligator, 35.914610, -76.112420
Alligoods, 35.559890, -76.946060
Allison, 36.409030, -79.464190
Allison Ferry, 35.388750, -80.957570
Allreds, 35.453190, -79.805590
Alma, 34.723770, -79.312540
Almond, 35.369820, -83.565160
Alspaugh, 36.145420, -80.255610
Altamahaw, 36.184300, -79.507250
Altamahaw-Ossipee  (historical), 36.179420, -79.501210
Altamont, 35.990960, -81.944280
Altapass, 35.893460, -82.017890
Alton, 34.880980, -80.541730
Alvah Hardy Jr Mobile Home Park, 35.579350, -77.300520
Amantha, 36.278740, -81.779830
Amarest Manor Mobile Home Park, 36.333000, -76.224500
Amarillo Park, 35.288200, -80.778680
Amelia, 36.542630, -81.203150
Amherst, 35.799020, -81.596210
Amity Hill, 35.697360, -80.773400
