DATE,WPS081
2014-01-01,210.4
2014-02-01,213.0
2014-03-01,215.2
2014-04-01,213.4
2014-05-01,214.1
2014-06-01,216.1
2014-07-01,217.4
2014-08-01,216.3
2014-09-01,219.9
2014-10-01,215.7
2014-11-01,213.8
2014-12-01,212.3
2015-01-01,211.0
2015-02-01,206.6
2015-03-01,202.4
2015-04-01,201.1
2015-05-01,196.3
2015-06-01,197.8
2015-07-01,200.9
2015-08-01,196.2
2015-09-01,192.5
2015-10-01,193.8
2015-11-01,197.6
2015-12-01,195.4
2016-01-01,197.0
2016-02-01,194.1
2016-03-01,195.4
2016-04-01,200.3
2016-05-01,200.5
2016-06-01,202.5
2016-07-01,203.8
2016-08-01,204.4
2016-09-01,204.5
2016-10-01,206.3
2016-11-01,206.0
2016-12-01,206.3
2017-01-01,204.5
2017-02-01,208.3
2017-03-01,208.1
2017-04-01,215.4
2017-05-01,214.7
2017-06-01,216.3
2017-07-01,219.1
2017-08-01,221.2
2017-09-01,222.5
2017-10-01,225.6
2017-11-01,227.9
2017-12-01,224.2
2018-01-01,222.6
2018-02-01,228.1
2018-03-01,226.8
2018-04-01,235.3
2018-05-01,241.5
2018-06-01,254.2
2018-07-01,253.9
2018-08-01,235.6
2018-09-01,236.1
2018-10-01,222.2
2018-11-01,215.9
2018-12-01,214.9
2019-01-01,207.7
2019-02-01,208.2
2019-03-01,202.1
2019-04-01,209.9
2019-05-01,204.5
2019-06-01,205.4
2019-07-01,214.5
2019-08-01,212.3
2019-09-01,218.4
2019-10-01,216.7
2019-11-01,215.7
2019-12-01,213.9
2020-01-01,207.1
2020-02-01,207.1
2020-03-01,209.1
2020-04-01,201.8
2020-05-01,204.4
2020-06-01,224.9
2020-07-01,247.2
2020-08-01,275.5
2020-09-01,336.5
2020-10-01,315.6
2020-11-01,274.6
2020-12-01,297.6
2021-01-01,324.9
2021-02-01,328.6
2021-03-01,341.1
2021-04-01,384.1
2021-05-01,443.9
2021-06-01,444.0
2021-07-01,343.070
2021-08-01,287.801
2021-09-01,284.640
2021-10-01,299.146
2021-11-01,309.766
2021-12-01,353.910
2022-01-01,398.366
2022-02-01,403.765
2022-03-01,414.781
2022-04-01,378.311
2022-05-01,380.524
2022-06-01,318.162
2022-07-01,326.635
2022-08-01,312.670
2022-09-01,302.983
2022-10-01,294.428
2022-11-01,287.013
2022-12-01,269.603
2023-01-01,260.081
2023-02-01,257.007
2023-03-01,249.374
2023-04-01,257.669
2023-05-01,253.493
2023-06-01,257.580
2023-07-01,269.892
2023-08-01,258.261
2023-09-01,261.265
